                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5922,                 3.7787,                 1.4975,                0.01003,                0.38061,                0.04377,                0.01735,                 1.9055,                 3.7152,                 1.6706,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.3838,                 3.6058,                 1.3579,                0.01047,                0.36029,                0.07855,                0.04773,                 1.1481,                 3.5351,                  1.266,             4.9951e-05,             4.9951e-05,             4.9951e-05
                      3,                 1.1123,                 3.4919,                  1.182,                0.01596,                 0.5718,                0.15245,                 0.1131,                0.82369,                 3.4682,                 1.0805,             7.9842e-05,             7.9842e-05,             7.9842e-05
                      4,                0.91749,                 3.3386,                 1.1094,                0.02217,                0.60963,                0.23678,                0.16146,                0.70229,                 3.3975,                0.99082,             0.00010967,             0.00010967,             0.00010967
                      5,                0.87053,                 3.0779,                 1.0449,                0.02708,                0.63846,                0.19905,                0.13824,                0.65698,                 3.3296,                0.98809,             0.00013945,             0.00013945,             0.00013945
                      6,                0.72452,                 2.6161,                 1.0241,                0.03037,                0.64297,                0.19125,                0.14702,                0.67822,                 3.2302,                 0.9949,             0.00016916,             0.00016916,             0.00016916
                      7,                0.79118,                  2.393,                  1.019,                0.03307,                0.69482,                0.21286,                0.15292,                0.71547,                 3.0572,                 1.0041,             0.00019881,             0.00019881,             0.00019881
                      8,                0.68844,                 2.0903,                 0.9696,                0.87466,                0.20954,                0.22935,                0.16128,                0.70044,                 2.9541,                 1.0072,             0.00022841,             0.00022841,             0.00022841
                      9,                0.74505,                 2.0139,                 1.0156,                0.88669,                0.18794,                0.22492,                0.16838,                0.67655,                 2.8172,                 1.0122,             0.00025794,             0.00025794,             0.00025794
                     10,                0.73039,                 1.9679,                 1.0147,                0.86077,                0.19409,                0.22195,                0.17053,                0.69769,                 2.7732,                 1.0135,             0.00028742,             0.00028742,             0.00028742
                     11,                0.76481,                 2.0259,                 1.0112,                0.85316,                0.19896,                0.24619,                0.17277,                0.73036,                 2.6425,                 1.0114,             0.00031683,             0.00031683,             0.00031683
                     12,                0.73431,                 1.7764,                0.99338,                0.84596,                 0.2406,                 0.2422,                0.16922,                0.69097,                 2.6174,                 1.0014,             0.00034619,             0.00034619,             0.00034619
                     13,                0.77014,                 1.5745,                 1.0272,                0.73919,                0.30056,                0.31436,                0.21314,                0.80587,                  2.377,                 1.0763,             0.00037549,             0.00037549,             0.00037549
                     14,                0.72363,                 1.5983,                 1.0091,                0.74493,                0.29515,                0.34259,                0.25493,                0.77103,                   2.23,                 1.0419,             0.00040472,             0.00040472,             0.00040472
                     15,                0.72128,                 1.4841,                 1.0513,                0.81222,                0.36794,                0.44474,                0.32635,                0.76125,                 1.9845,                 1.0612,              0.0004339,              0.0004339,              0.0004339
                     16,                0.75189,                 1.4858,                 1.0327,                0.70604,                0.44425,                0.41946,                0.30874,                0.76139,                 1.8909,                 1.0604,             0.00046302,             0.00046302,             0.00046302
                     17,                0.70074,                 1.3756,                 1.0103,                0.48554,                 0.4526,                0.37197,                0.25037,                0.84743,                 1.9168,                 1.1491,             0.00049208,             0.00049208,             0.00049208
                     18,                0.65821,                 1.2536,                0.99334,                0.50731,                 0.4698,                0.38513,                0.26962,                0.83778,                  1.887,                 1.1263,             0.00052108,             0.00052108,             0.00052108
