                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5635,                 3.6984,                 1.4565,                0.01075,                0.39387,                0.04591,                0.02248,                 1.3334,                 3.6166,                 1.3943,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.0786,                 3.5121,                 1.1944,                0.01628,                0.52323,                0.19478,                0.12876,                0.78479,                 3.4622,                 1.0518,             8.9911e-05,             8.9911e-05,             8.9911e-05
                      3,                0.84117,                 3.0525,                 1.0559,                0.03015,                0.70614,                0.25776,                0.17679,                 0.6311,                 3.2645,                0.94475,             0.00013972,             0.00013972,             0.00013972
                      4,                0.77887,                 2.4598,                 1.0291,                0.03377,                0.68531,                0.24302,                0.17533,                0.69128,                  3.054,                0.97654,             0.00018944,             0.00018944,             0.00018944
                      5,                0.81837,                 2.3167,                 1.0515,                0.88974,                0.19188,                0.24422,                0.18517,                0.68879,                 2.7735,                 1.0059,             0.00023905,             0.00023905,             0.00023905
                      6,                0.76132,                 1.8778,                 1.0008,                0.87969,                 0.2099,                0.27291,                0.20929,                0.71986,                 2.6837,                 1.0036,             0.00028856,             0.00028856,             0.00028856
                      7,                0.69249,                 1.5774,                 1.0121,                 0.8982,                0.26757,                0.33864,                0.25693,                0.76082,                 2.3357,                  1.026,             0.00033798,             0.00033798,             0.00033798
                      8,                0.65891,                 1.4611,                0.99664,                0.91009,                0.25219,                0.39203,                0.30891,                0.67861,                 1.8683,                 0.9914,              0.0003873,              0.0003873,              0.0003873
                      9,                0.68582,                 1.3443,                  1.007,                0.62522,                0.40889,                0.40466,                0.31743,                0.72581,                  1.701,                0.99804,             0.00043652,             0.00043652,             0.00043652
                     10,                0.67618,                 1.3623,                0.98855,                0.68095,                0.36483,                0.40943,                 0.3171,                0.73093,                 1.6009,                 1.0002,             0.00048563,             0.00048563,             0.00048563
                     11,                0.68702,                 1.2351,                0.99652,                0.48535,                0.49807,                0.47244,                0.35303,                0.70461,                 1.5857,                0.98812,             0.00053465,             0.00053465,             0.00053465
                     12,                0.68356,                 1.1306,                0.98722,                0.70296,                0.52001,                0.52467,                0.38832,                0.70401,                 1.7189,                 1.0161,             0.00058357,             0.00058357,             0.00058357
                     13,                0.63653,                 1.0724,                0.96273,                0.84765,                0.36642,                0.54267,                0.41507,                0.67858,                 1.5931,                 0.9837,              0.0006324,              0.0006324,              0.0006324
                     14,                0.61993,                0.99987,                0.97476,                0.89868,                0.34894,                 0.5699,                0.41649,                 0.6778,                  1.602,                0.96796,             0.00068112,             0.00068112,             0.00068112
                     15,                0.60266,                0.91354,                0.96782,                0.80128,                0.37522,                 0.4703,                0.30532,                0.71518,                 1.7891,                0.98451,             0.00072974,             0.00072974,             0.00072974
                     16,                 0.6339,                0.98927,                0.97785,                0.74593,                0.37922,                0.43858,                0.28762,                 0.7462,                 1.8048,                0.99821,             0.00077827,             0.00077827,             0.00077827
                     17,                0.62842,                0.88703,                 0.9653,                0.94059,                0.26595,                0.43504,                0.27446,                 0.8381,                 1.8446,                 1.0228,             0.00082669,             0.00082669,             0.00082669
                     18,                0.62377,                0.87215,                0.95975,                0.58787,                0.47516,                0.56378,                0.39649,                 0.7751,                 1.7619,                 1.0043,             0.00087502,             0.00087502,             0.00087502
                     19,                0.63099,                0.86509,                0.98482,                0.57322,                0.57863,                0.65984,                0.47239,                0.74185,                 1.5904,                0.98911,             0.00092325,             0.00092325,             0.00092325
                     20,                0.62981,                0.84501,                0.96781,                0.55514,                0.68724,                0.77285,                0.55973,                0.70966,                 1.3369,                0.96214,             0.00097138,             0.00097138,             0.00097138
                     21,                0.60467,                0.86109,                0.96799,                0.54767,                 0.6644,                0.78562,                0.56578,                0.70749,                 1.2494,                 0.9614,              0.0009802,              0.0009802,              0.0009802
                     22,                0.58126,                0.82889,                0.94708,                 0.8742,                0.54113,                0.75013,                0.55174,                0.69957,                 1.2829,                0.96683,              0.0009802,              0.0009802,              0.0009802
                     23,                0.58096,                0.77506,                0.95268,                0.59229,                0.72796,                0.78317,                 0.5667,                0.73643,                 1.2508,                0.99509,             0.00097921,             0.00097921,             0.00097921
                     24,                0.61152,                0.82479,                0.94973,                0.68908,                  0.763,                0.80925,                0.61648,                 0.6586,                 1.1671,                0.96447,             0.00097822,             0.00097822,             0.00097822
                     25,                0.59232,                0.84039,                0.95031,                0.69151,                0.74433,                 0.8198,                0.64323,                0.61211,                 1.1259,                0.95089,             0.00097723,             0.00097723,             0.00097723
                     26,                0.58471,                 0.7977,                 0.9715,                0.74473,                0.80121,                0.83651,                0.66914,                0.60965,                 1.1277,                0.96232,             0.00097624,             0.00097624,             0.00097624
                     27,                0.57603,                0.79262,                0.95644,                0.69336,                0.76215,                0.82424,                0.63761,                0.65914,                 1.1879,                0.98643,             0.00097525,             0.00097525,             0.00097525
                     28,                0.61122,                0.76833,                0.94899,                0.65033,                0.75205,                0.74453,                 0.5869,                0.68028,                 1.2492,                 1.0091,             0.00097426,             0.00097426,             0.00097426
                     29,                 0.6027,                0.77713,                0.95367,                0.65207,                 0.7458,                0.75149,                0.58614,                0.67325,                  1.314,                 1.0086,             0.00097327,             0.00097327,             0.00097327
                     30,                 0.5698,                0.73748,                0.94098,                0.63134,                0.69683,                0.71806,                0.54985,                0.70419,                 1.3501,                 1.0342,             0.00097228,             0.00097228,             0.00097228
                     31,                0.57574,                0.69675,                0.95016,                0.64787,                0.73856,                0.75661,                0.54187,                 0.7153,                 1.3989,                 1.0339,             0.00097129,             0.00097129,             0.00097129
                     32,                0.56863,                0.72181,                0.94034,                0.67608,                0.73794,                0.76372,                0.56469,                0.67417,                 1.4118,                 1.0046,              0.0009703,              0.0009703,              0.0009703
                     33,                0.57515,                0.73979,                0.95128,                0.57241,                0.81001,                0.72062,                0.52517,                0.72648,                 1.6255,                 1.0234,             0.00096931,             0.00096931,             0.00096931
                     34,                0.54831,                 0.6948,                0.93295,                0.57525,                 0.8205,                 0.7367,                0.52369,                0.79703,                 1.8051,                 1.0579,             0.00096832,             0.00096832,             0.00096832
                     35,                0.58292,                0.73505,                0.95709,                0.55702,                0.82088,                0.79986,                0.57086,                0.76894,                 1.5942,                 1.0179,             0.00096733,             0.00096733,             0.00096733
                     36,                0.60262,                0.73164,                0.93404,                0.66012,                0.79339,                0.86363,                0.61877,                0.68906,                 1.1129,                0.96868,             0.00096634,             0.00096634,             0.00096634
                     37,                0.58149,                0.69542,                0.93848,                0.69666,                 0.8099,                0.84862,                0.64651,                0.62787,                0.99878,                0.94436,             0.00096535,             0.00096535,             0.00096535
                     38,                0.59341,                0.74642,                0.93556,                 0.7833,                0.82754,                0.86071,                0.66848,                0.59406,                0.94087,                0.92512,             0.00096436,             0.00096436,             0.00096436
                     39,                0.53609,                0.64817,                 0.9122,                0.80692,                0.82466,                0.86004,                0.67631,                0.58102,                0.92958,                0.93489,             0.00096337,             0.00096337,             0.00096337
                     40,                0.54734,                0.67466,                 0.9369,                0.73523,                0.85072,                 0.8526,                0.66321,                0.62754,                0.96729,                 0.9599,             0.00096238,             0.00096238,             0.00096238
                     41,                0.59189,                0.75354,                0.92391,                0.75753,                0.84919,                0.85489,                0.65711,                0.65487,                0.98603,                0.96764,             0.00096139,             0.00096139,             0.00096139
                     42,                0.54425,                0.68478,                0.92385,                0.80678,                0.88895,                0.85188,                0.67005,                0.66488,                 1.0481,                0.98357,              0.0009604,              0.0009604,              0.0009604
                     43,                 0.5661,                0.68727,                0.93916,                0.82549,                0.86618,                0.85327,                 0.6674,                 0.6795,                 1.2025,                0.99728,             0.00095941,             0.00095941,             0.00095941
                     44,                0.57767,                0.68061,                0.96141,                0.82403,                0.72308,                0.84237,                 0.6441,                0.71029,                 1.3638,                 1.0179,             0.00095842,             0.00095842,             0.00095842
                     45,                0.60634,                0.72593,                0.95777,                0.72893,                0.78334,                0.83887,                0.64441,                0.66576,                 1.1275,                0.96877,             0.00095743,             0.00095743,             0.00095743
                     46,                0.56047,                0.65657,                0.94688,                0.76041,                0.81873,                 0.8517,                0.67786,                0.63618,                0.95301,                0.95818,             0.00095644,             0.00095644,             0.00095644
                     47,                0.53711,                0.62939,                0.92269,                0.80459,                0.83626,                0.88094,                0.70667,                0.60656,                0.90725,                0.93103,             0.00095545,             0.00095545,             0.00095545
                     48,                  0.551,                 0.6517,                0.92262,                0.77625,                0.89467,                0.86949,                0.65402,                0.64111,                0.94486,                0.94831,             0.00095446,             0.00095446,             0.00095446
                     49,                0.54356,                0.63059,                0.92908,                0.85104,                0.88165,                0.87794,                0.65144,                0.68287,                0.95097,                0.96561,             0.00095347,             0.00095347,             0.00095347
                     50,                0.55827,                0.64168,                0.94268,                0.84128,                0.88067,                0.88041,                0.67516,                0.66637,                0.93164,                 0.9633,             0.00095248,             0.00095248,             0.00095248
                     51,                0.53179,                0.63012,                0.92814,                0.85237,                0.86147,                0.87664,                0.66905,                0.66895,                0.94645,                0.95276,             0.00095149,             0.00095149,             0.00095149
                     52,                0.54624,                 0.6297,                0.92673,                0.80442,                0.84901,                0.87351,                0.66427,                 0.6952,                 1.0908,                0.97785,              0.0009505,              0.0009505,              0.0009505
                     53,                 0.5486,                0.64548,                0.92311,                0.82056,                0.75521,                0.85145,                0.64851,                 0.7076,                 1.1915,                0.99467,             0.00094951,             0.00094951,             0.00094951
                     54,                0.54183,                0.64536,                0.91635,                0.71837,                0.77779,                  0.806,                0.59497,                0.75795,                 1.3967,                   1.03,             0.00094852,             0.00094852,             0.00094852
                     55,                  0.541,                0.60931,                0.92123,                0.67601,                 0.7519,                0.75931,                0.55807,                0.78158,                 1.8851,                 1.0489,             0.00094753,             0.00094753,             0.00094753
                     56,                  0.518,                0.62117,                0.91793,                 0.6424,                0.77295,                0.70853,                0.50826,                0.82571,                 1.9715,                 1.0858,             0.00094654,             0.00094654,             0.00094654
                     57,                0.55674,                0.65034,                0.91977,                0.66165,                0.78976,                0.73321,                0.53426,                0.76427,                 1.5469,                 1.0585,             0.00094555,             0.00094555,             0.00094555
                     58,                0.54909,                0.62885,                0.92471,                 0.7229,                0.84128,                0.81124,                0.59518,                0.71452,                 1.2371,                 1.0301,             0.00094456,             0.00094456,             0.00094456
                     59,                0.50642,                0.59746,                0.91902,                0.75294,                0.86568,                0.84683,                0.63279,                0.65453,                0.99785,                0.98376,             0.00094357,             0.00094357,             0.00094357
                     60,                  0.529,                0.62127,                0.93376,                0.77881,                0.83743,                0.87598,                0.68138,                0.59637,                  0.886,                0.93654,             0.00094258,             0.00094258,             0.00094258
                     61,                0.53236,                0.62121,                0.92128,                0.74906,                0.88525,                  0.871,                0.69044,                0.56933,                0.87797,                 0.9261,             0.00094159,             0.00094159,             0.00094159
                     62,                 0.5215,                 0.5748,                0.91068,                0.79327,                0.83652,                0.84978,                0.68169,                0.58636,                0.88677,                0.92762,              0.0009406,              0.0009406,              0.0009406
                     63,                0.51814,                0.59134,                0.89073,                0.77946,                0.80591,                0.82875,                0.63794,                0.62769,                0.91859,                0.95388,             0.00093961,             0.00093961,             0.00093961
                     64,                0.54005,                0.64206,                0.92428,                0.75306,                0.84385,                0.80993,                0.61384,                0.62977,                0.90849,                0.96529,             0.00093862,             0.00093862,             0.00093862
                     65,                0.54927,                0.61806,                0.92426,                0.81602,                0.80829,                0.84451,                0.66276,                0.60861,                0.88041,                0.92435,             0.00093763,             0.00093763,             0.00093763
                     66,                0.51674,                0.58154,                0.90799,                0.84029,                0.79848,                0.85325,                0.67234,                0.59945,                0.83922,                0.92585,             0.00093664,             0.00093664,             0.00093664
                     67,                0.53251,                0.60831,                 0.9123,                0.81643,                0.88745,                0.86056,                0.67452,                0.61217,                0.84954,                0.93111,             0.00093565,             0.00093565,             0.00093565
                     68,                0.52768,                0.55673,                0.91017,                0.86475,                0.79435,                0.87436,                0.69828,                0.60201,                0.92331,                0.92577,             0.00093466,             0.00093466,             0.00093466
                     69,                0.52392,                0.59745,                0.92186,                0.78323,                0.81962,                0.86358,                0.66895,                0.62152,                0.93648,                0.93423,             0.00093367,             0.00093367,             0.00093367
                     70,                0.49679,                 0.5485,                0.91145,                0.77324,                0.77721,                0.85499,                 0.6512,                0.66816,                 1.0034,                0.96417,             0.00093268,             0.00093268,             0.00093268
                     71,                0.49152,                0.58226,                0.92589,                0.74536,                0.86101,                0.85811,                0.67179,                0.66402,                 1.0438,                0.95776,             0.00093169,             0.00093169,             0.00093169
                     72,                0.49961,                0.57555,                0.89778,                0.82146,                 0.8368,                0.85885,                0.68181,                0.65787,                 1.0629,                0.94571,              0.0009307,              0.0009307,              0.0009307
                     73,                0.49663,                0.56348,                0.90049,                0.84505,                0.76204,                0.84829,                0.67721,                0.64579,                 1.0553,                0.93326,             0.00092971,             0.00092971,             0.00092971
                     74,                0.48457,                0.55165,                0.90951,                 0.7799,                 0.7837,                0.81694,                0.64414,                 0.6734,                 1.1044,                0.95267,             0.00092872,             0.00092872,             0.00092872
                     75,                 0.5079,                0.54355,                0.91771,                0.73608,                0.72359,                0.76162,                0.57971,                0.72804,                 1.2256,                0.97434,             0.00092773,             0.00092773,             0.00092773
                     76,                0.50223,                0.54535,                0.90935,                 0.6909,                 0.6731,                0.69435,                0.49699,                0.91427,                  1.624,                 1.0897,             0.00092674,             0.00092674,             0.00092674
                     77,                0.51737,                 0.5906,                0.91092,                0.72101,                 0.6011,                0.67587,                0.48626,                0.93748,                 1.7723,                 1.1311,             0.00092575,             0.00092575,             0.00092575
                     78,                0.49704,                0.53611,                0.90515,                0.68212,                0.65478,                  0.667,                0.50075,                0.96483,                 1.8274,                 1.1457,             0.00092476,             0.00092476,             0.00092476
                     79,                0.50371,                0.54195,                0.90591,                0.67066,                0.69539,                 0.6947,                0.52373,                 0.9153,                 1.8226,                 1.1243,             0.00092377,             0.00092377,             0.00092377
                     80,                0.51598,                0.57584,                0.91317,                 0.7827,                0.78571,                0.82941,                0.63301,                0.69669,                 1.0876,                0.96197,             0.00092278,             0.00092278,             0.00092278
                     81,                0.52354,                0.54832,                0.89682,                0.74636,                0.82788,                0.84172,                0.66035,                0.66469,                0.97732,                0.95727,             0.00092179,             0.00092179,             0.00092179
                     82,                0.51369,                0.53813,                0.89948,                0.74404,                0.85664,                0.86114,                0.67005,                0.64186,                0.97748,                0.96113,              0.0009208,              0.0009208,              0.0009208
                     83,                0.49248,                0.57902,                0.90664,                0.80224,                0.76523,                0.84897,                0.65219,                0.66102,                  1.036,                0.97787,             0.00091981,             0.00091981,             0.00091981
                     84,                0.50588,                0.53683,                0.90401,                0.71575,                0.83663,                0.84517,                0.65048,                0.67669,                 1.1176,                0.97649,             0.00091882,             0.00091882,             0.00091882
                     85,                0.52379,                 0.5242,                0.89537,                0.76462,                 0.8317,                0.86704,                0.64958,                0.68796,                 1.1529,                 1.0031,             0.00091783,             0.00091783,             0.00091783
                     86,                0.50083,                0.53117,                0.91114,                0.72608,                0.90729,                0.86202,                0.67285,                0.63837,                0.91894,                0.99074,             0.00091684,             0.00091684,             0.00091684
                     87,                0.49357,                0.52462,                0.89905,                0.81652,                0.81795,                0.87375,                0.69377,                0.58232,                0.78329,                0.94576,             0.00091585,             0.00091585,             0.00091585
                     88,                0.50617,                0.54744,                0.90804,                0.90141,                0.83286,                0.89546,                0.72497,                 0.5508,                0.69441,                 0.9197,             0.00091486,             0.00091486,             0.00091486
                     89,                0.50481,                 0.5433,                  0.895,                0.87467,                0.86368,                0.89945,                0.73661,                0.54625,                0.70264,                0.91109,             0.00091387,             0.00091387,             0.00091387
                     90,                0.50115,                0.53188,                0.92673,                0.85457,                0.90802,                0.90153,                0.73347,                0.54917,                0.72088,                0.90612,             0.00091288,             0.00091288,             0.00091288
                     91,                 0.4967,                0.54578,                0.90073,                0.86319,                0.87612,                0.90012,                0.72062,                0.55399,                0.74491,                0.89776,             0.00091189,             0.00091189,             0.00091189
                     92,                0.52564,                0.57011,                0.90082,                0.78948,                0.87422,                0.87491,                 0.6937,                0.58887,                0.80332,                0.92374,              0.0009109,              0.0009109,              0.0009109
                     93,                0.50313,                0.55533,                0.89787,                0.77989,                0.86091,                0.88703,                0.69607,                0.61207,                0.85103,                0.93491,             0.00090991,             0.00090991,             0.00090991
                     94,                0.49847,                0.52122,                0.89564,                0.76468,                 0.8541,                0.87634,                0.68475,                0.62632,                0.89686,                0.93875,             0.00090892,             0.00090892,             0.00090892
                     95,                0.51069,                0.53412,                0.89529,                0.80812,                0.85677,                0.85894,                0.66247,                0.64461,                0.87799,                0.94265,             0.00090793,             0.00090793,             0.00090793
                     96,                0.49989,                0.50785,                0.90701,                0.81371,                0.87708,                0.85351,                0.66709,                0.63998,                0.83131,                0.96636,             0.00090694,             0.00090694,             0.00090694
                     97,                0.50564,                0.52577,                0.88454,                0.84831,                0.86347,                0.85747,                0.67261,                0.60958,                0.79897,                0.95068,             0.00090595,             0.00090595,             0.00090595
                     98,                0.50124,                0.54213,                0.90724,                0.84988,                0.84622,                0.85452,                0.68235,                0.57788,                0.78579,                0.91275,             0.00090496,             0.00090496,             0.00090496
                     99,                0.50196,                0.51971,                0.89456,                0.84493,                0.84086,                0.86328,                0.68117,                0.57463,                0.81437,                0.90122,             0.00090397,             0.00090397,             0.00090397
